#ARTIST:Within Temptation
#TITLE:Somewhere
#MP3:Within Temptation - Somewhere.mp3
#CREATOR:lava
#YEAR:2004
#LANGUAGE:English
#BPM:300.25
#GAP:19380
#VIDEO:a=wlxWpGAfClQ,co=the-silent-force-4dcb14c763460.jpg,bg=within-temptation-4ff5a641724c7.jpg
: 0 2 4 Lo
: 2106 15 2 you 
: 2125 7 9 so
: 2134 9 6 me
: 2145 28 6 where. 
- 2175
: 2183 4 2 I’ll 
: 2189 3 2 ke
: 2193 3 4 ep 
: 2199 3 4 o
: 2203 4 2 n 
: 2211 6 6 try
: 2219 5 4 i
: 2226 24 2 ng 
: 2261 5 14 un
: 2268 10 13 til 
: 2280 7 11 my 
: 2290 3 9 d
: 2294 4 6 y
: 2300 8 6 ing 
: 2310 5 11 da
: 2317 29 9 y
: 2348 3 6 y
: 2352 15 4 y
: 2369 8 6 y. 
- 2379
: 2400 16 -1 I 
: 2419 8 6 ju
: 2429 8 2 st 
: 2440 18 2 need 
: 2460 7 9 t
: 2468 8 6 o 
: 2482 8 7 kno
: 2491 20 6 w 
: 2522 3 -3 wha
: 2526 3 2 t
: 2530 3 4 e
: 2535 5 4 ver 
: 2541 3 2 has 
: 2545 3 4 h
: 2549 5 6 ap
: 2555 4 4 pe
: 2561 23 2 ned 
- 2586
: 2599 3 14 The 
: 2605 9 13 truth 
: 2615 8 11 will 
: 2626 8 9 free 
: 2636 3 9 m
: 2640 4 11 y 
: 2648 3 9 so
: 2652 34 11 ul. 
- 2688
: 2716 9 11 Whe
: 2726 10 13 r
: 2737 20 14 e
: 2758 7 14 ver 
: 2768 3 13 yo
: 2772 4 9 u 
: 2778 12 9 are 
: 2809 8 4 I 
: 2820 4 4 wo
: 2825 11 6 n’t 
: 2842 14 11 stop 
: 2863 6 13 sear
: 2873 11 14 ching. 
- 2886
: 2895 10 6 Wha
: 2906 2 13 t
: 2909 17 14 e
: 2927 5 14 ve
: 2933 5 13 r 
: 2939 5 13 it 
: 2946 4 11 ta
: 2951 9 13 kes 
: 2969 12 11 need 
: 2983 4 13 to 
: 2990 3 11 k
: 2995 8 13 n
: 3004 62 13 o
: 3067 2 14 o
: 3070 3 13 o
: 3074 24 11 ow 
- 3100
: 3414 12 1 I’ll 
: 3434 7 8 fi
: 3442 10 4 nd 
: 3455 15 4 you 
: 3474 7 11 so
: 3483 9 8 me
: 3494 28 8 where. 
- 3524
: 3532 4 4 I’ll 
: 3538 3 4 ke
: 3542 3 6 ep 
: 3548 3 6 o
: 3552 3 4 n 
: 3560 6 8 try
: 3568 5 6 i
: 3575 24 4 ng 
* 3610 5 16 un
* 3617 10 15 til 
* 3629 7 13 my 
* 3637 3 11 d
* 3641 4 8 y
* 3647 8 8 ing 
* 3658 5 13 da
* 3665 29 11 y
* 3696 3 8 y
* 3700 15 6 y
* 3717 8 8 y. 
- 3727
: 3750 16 1 I 
: 3769 8 8 ju
: 3779 8 4 st 
: 3790 18 4 need 
: 3810 7 11 t
: 3818 8 8 o 
: 3832 8 9 kno
: 3841 20 8 w 
: 3869 5 4 what
: 3876 7 6 e
: 3885 5 6 ver 
: 3891 3 4 has 
: 3895 3 6 h
: 3899 5 8 ap
: 3905 4 6 pe
: 3911 23 4 ned 
- 3936
: 3948 3 16 The 
: 3953 9 15 truth 
: 3963 8 13 will 
: 3974 8 11 free 
: 3984 3 11 m
: 3988 4 13 y 
: 3996 3 11 so
: 4000 34 13 ul. 
E
