#ARTIST:Hollywood Undead
#TITLE:Hear Me Now
#MP3:Hollywood Undead - Hear Me Now.mp3
#CREATOR:reck0ning
#GENRE:Alternative
#YEAR:2011
#LANGUAGE:English
#BPM:343.68
#GAP:31840
#VIDEO:v=pdoIs1jZbCY,co=https://static.wikia.nocookie.net/hollywoodundead/images/4/4c/Hear_Me_Now.png,bg=hollywood-undead-54ae85910fb83.jpg
: 0 2 4 As 
* 680 4 7 now 
: 688 2 4 you 
: 692 4 4 see, 
- 698
: 700 2 4 You 
: 704 2 6 spent 
: 708 2 4 your 
: 712 2 6 whole 
: 720 4 6 life 
: 728 2 6 ta
: 732 2 4 king 
: 736 2 4 the 
* 740 4 7 best 
: 748 2 2 of 
: 752 4 2 me 
- 758
: 760 6 4 Where’d 
: 768 2 7 you 
: 772 8 7 go? 
: 792 6 4 Where’s 
: 800 2 7 your 
: 804 8 7 home? 
- 814
: 824 6 4 How’d 
: 832 2 7 you 
: 836 8 7 end 
: 848 4 7 up 
: 856 6 4 all 
: 864 2 7 a
: 868 6 7 lone? 
- 876
: 888 4 7 Can 
: 896 4 9 you 
* 904 2 9 he
* 907 17 11 ar 
: 928 30 7 me 
: 960 16 6 now? 
- 978
: 1016 6 4 There’s 
: 1024 2 7 no 
: 1028 8 7 light, 
: 1048 6 4 there’s 
: 1056 2 7 no 
: 1060 6 7 sound. 
- 1068
: 1080 6 4 Hard 
: 1088 2 7 to 
: 1092 8 7 breathe, 
: 1104 2 7 when 
: 1108 2 7 you’re 
: 1112 6 4 un
: 1120 2 7 der
: 1124 8 7 ground. 
- 1134
: 1144 4 7 Can 
: 1152 4 9 you 
* 1160 2 9 he
* 1163 17 10 ar 
: 1184 28 7 me 
: 1216 18 9 now? 
- 1236
: 1256 14 7 Hear 
: 1272 12 6 me 
* 1288 12 11 now! 
- 1302
: 1416 4 2 How 
: 1424 2 2 low 
: 1428 2 2 can 
: 1432 2 3 I 
: 1440 2 1 keep 
: 1444 2 1 pre
: 1448 2 2 ten
: 1452 2 1 ding 
: 1456 2 1 to 
: 1460 4 1 be? 
- 1466
: 1468 2 2 That 
: 1472 2 2 all 
: 1476 2 2 the 
: 1480 4 3 stars 
: 1488 2 2 in 
: 1492 2 3 the 
: 1496 2 2 sky 
: 1500 2 2 could 
: 1504 3 2 mean 
: 1512 2 4 some
: 1516 2 3 thing 
: 1520 2 2 to 
: 1524 6 2 me. 
- 1532
: 1544 3 4 Heaven 
: 1548 2 4 will 
: 1552 2 4 o
: 1556 2 2 pen 
: 1560 4 4 up 
: 1568 2 4 if 
: 1572 2 2 I 
: 1576 2 4 live 
: 1580 2 4 on 
: 1584 2 2 my 
: 1588 8 4 knees. 
- 1598
: 1604 2 2 A 
: 1608 2 4 man 
: 1612 2 2 of 
: 1616 2 2 ma
: 1620 2 2 ny 
: 1624 4 2 words, 
: 1632 2 2 but 
: 1636 2 2 a 
: 1640 2 2 man 
: 1644 2 2 of 
: 1648 3 2 few 
: 1656 8 3 deeds. 
- 1666
: 1672 2 2 Wal
: 1676 2 2 king 
: 1680 4 3 these 
: 1688 4 2 streets, 
: 1696 2 2 so 
: 1700 2 2 ab
: 1708 2 2 sent 
: 1712 2 2 of 
: 1716 4 3 hope. 
- 1722
: 1732 2 2 A 
: 1736 2 2 pil
: 1740 2 2 low 
: 1744 2 2 of 
: 1748 6 3 con
: 1756 3 3 crete, 
: 1764 2 3 a 
: 1768 2 2 man 
: 1772 2 2 with 
: 1776 2 3 no 
: 1780 4 4 home. 
- 1786
: 1800 2 2 Lend 
: 1804 2 2 him 
: 1808 2 2 a 
: 1812 6 3 hand, 
: 1824 2 2 then 
: 1828 2 2 we’re 
: 1832 2 3 wal
: 1836 2 2 king 
: 1840 2 2 the 
: 1844 4 2 way. 
- 1850
: 1856 2 2 Leave 
: 1860 2 2 the 
: 1864 2 3 vir
: 1868 2 2 tue 
: 1872 2 2 of 
: 1876 2 3 pi
: 1880 3 2 ty, 
: 1888 2 2 but 
: 1892 2 2 we 
: 1896 2 3 live 
: 1900 2 2 with 
: 1904 2 2 the 
: 1908 6 2 shame. 
- 1916
: 1928 6 2 So 
: 1936 2 2 scared 
: 1940 2 2 to 
: 1944 6 2 dream 
: 1952 2 2 in 
: 1956 2 2 a 
: 1960 2 2 world 
: 1964 2 2 with 
: 1968 2 2 no 
: 1972 6 3 sun
: 1980 4 2 light. 
- 1986
: 1992 2 3 When 
: 1996 2 3 you 
: 2000 4 3 wake 
: 2008 2 2 up, 
: 2012 3 2 you 
: 2016 2 2 know 
: 2020 2 2 it’s 
: 2024 2 3 dar
: 2028 2 2 ker 
: 2032 2 2 than 
: 2036 4 3 last 
: 2044 4 3 night. 
- 2050
: 2056 2 3 Quick
: 2060 2 2 ly 
: 2064 2 2 we 
: 2068 2 2 for
: 2072 4 3 get, 
: 2088 2 3 sa
: 2092 2 2 cri
: 2096 2 2 fice 
: 2100 4 3 gone 
: 2108 4 2 by. 
- 2114
: 2120 2 2 Born 
: 2124 2 2 to 
: 2128 2 2 walk 
: 2132 2 2 a
: 2136 3 2 way, 
: 2148 2 2 been 
: 2152 2 3 wal
: 2156 2 2 king 
: 2160 2 2 my 
* 2164 4 3 whole 
* 2172 4 3 life. 
- 2178
: 2200 6 4 Where’d 
: 2208 2 7 you 
: 2212 8 7 go? 
: 2232 6 4 Where’s 
: 2240 2 7 your 
: 2244 8 7 home? 
- 2254
: 2264 6 4 How’d 
: 2272 2 7 you 
: 2276 8 7 end 
: 2288 4 7 up 
: 2296 6 4 all 
: 2304 2 7 a
: 2308 6 7 lone? 
- 2316
: 2328 4 7 Can 
: 2336 4 9 you 
* 2344 2 9 he
* 2347 17 11 ar 
: 2368 30 7 me 
: 2400 16 6 now? 
- 2418
: 2456 6 4 There’s 
: 2464 2 7 no 
: 2468 8 7 light, 
: 2488 6 4 there’s 
: 2496 2 7 no 
: 2500 6 7 sound. 
- 2508
: 2520 6 4 Hard 
: 2528 2 7 to 
: 2532 8 7 breathe, 
: 2544 2 7 when 
: 2548 2 7 you’re 
: 2552 6 4 un
: 2560 2 7 der
: 2564 8 7 ground. 
- 2574
: 2584 4 7 Can 
: 2592 4 9 you 
: 2600 2 9 he
: 2603 17 10 ar 
: 2624 28 7 me 
: 2656 18 9 now? 
- 2676
: 2696 14 7 Hear 
: 2712 12 6 me 
* 2728 12 11 now! 
- 2742
: 2744 4 9 Look 
: 2752 4 9 in
: 2760 4 9 to 
: 2768 4 9 my 
: 2776 4 9 eyes 
* 2784 2 11 and 
: 2788 10 9 I 
: 2800 24 7 see 
- 2826
: 2840 6 7 What 
: 2848 2 7 do 
* 2852 10 11 I 
: 2865 12 7 see? 
- 2879
: 2888 4 7 No
: 2896 4 7 thing 
: 2904 4 7 at 
: 2912 24 9 all! 
- 2938
: 3000 4 9 Take 
: 3008 4 9 a
: 3016 4 9 no
: 3024 4 9 ther 
: 3032 4 9 look 
: 3040 2 11 a
: 3044 8 9 round 
: 3056 23 7 me 
- 3081
: 3096 4 7 What 
: 3104 2 7 do 
: 3108 8 11 I 
: 3120 12 7 see? 
- 3134
: 3144 4 7 No
: 3152 4 7 thing 
: 3160 4 7 at 
* 3168 32 9 all! 
- 3202
* 3256 16 11 Now! 
- 3274
: 3384 16 11 Now! 
- 3402
: 3480 6 4 Where’d 
: 3488 2 7 you 
: 3492 8 7 go? 
: 3512 6 4 Where’s 
: 3520 2 7 your 
: 3524 8 7 home? 
- 3534
: 3544 6 4 How’d 
: 3552 2 7 you 
: 3556 8 7 end 
: 3568 4 7 up 
: 3576 6 4 all 
: 3584 2 7 a
: 3588 6 7 lone? 
- 3596
: 3608 4 7 Can 
: 3616 4 9 you 
: 3624 2 9 he
: 3627 17 11 ar 
: 3648 30 7 me 
: 3680 16 6 now? 
- 3698
: 3736 6 4 There’s 
: 3744 2 7 no 
: 3748 8 7 light, 
: 3768 6 4 there’s 
: 3776 2 7 no 
: 3780 6 7 sound. 
- 3788
: 3800 6 4 Hard 
: 3808 2 7 to 
: 3812 8 7 breathe, 
: 3824 2 7 when 
: 3828 2 7 you’re 
: 3832 6 4 un
: 3840 2 7 der
: 3844 8 7 ground. 
- 3854
: 3864 4 7 Can 
: 3872 4 9 you 
* 3880 2 9 he
* 3883 17 10 ar 
: 3904 28 7 me 
: 3936 18 9 now? 
- 3956
: 3976 14 7 Hear 
: 3992 12 6 me 
* 4008 16 11 now! 
- 4026
* 4104 1 2 He
* 4106 4 4 ~
* 4112 4 2 ar 
* 4120 4 -5 me 
* 4128 20 -3 now... 
- 4150
: 4184 4 7 Can 
: 4192 4 7 you 
* 4200 2 9 he
* 4203 4 11 ~
* 4208 6 9 ar 
: 4216 6 7 me? 
- 4224
: 4232 1 6 He
: 4234 10 7 ar 
: 4248 16 6 me... 
E
