#ARTIST:Michael Schulte
#TITLE:You Let Me Walk Alone (ESC 2018 Germany)
#MP3:Michael Schulte - You Let Me Walk Alone (ESC 2018 Germany).mp3
#CREATOR:aac
#EDITION:Eurovision Song Contest 2018
#GENRE:Pop
#YEAR:2018
#LANGUAGE:English
#BPM:298
#GAP:7090
#VIDEO:v=rp27Ggo_edo,co=you-let-me-walk-alone-690a4718101bc.jpg,bg=schulte-michael-67c87bf2ecd76.jpg,preview=42.67,medley=708-2013
: 0 2 4 I’m
: 856 2 -1 You 
: 860 8 4 made 
: 872 2 3 this 
: 876 5 1 place
: 882 4 -1 ~ 
: 888 2 -1 a 
: 892 5 -4 home
: 898 4 -6 ~ 
- 904
: 920 2 -1 A 
: 924 8 4 shel
: 936 2 3 ter 
: 940 5 1 from
: 946 4 -1 ~ 
: 952 2 -1 the 
: 956 8 -1 storm 
- 968
: 968 2 -1 You 
: 972 2 -1 said 
: 976 2 1 I 
: 980 4 -1 had 
* 988 7 6 one
: 996 2 3 ~ 
: 1000 4 3 life 
: 1006 2 1 and 
: 1010 4 -1 a 
: 1018 5 6 true
: 1024 4 3 ~ 
: 1030 7 3 heart
: 1038 2 1 ~ 
- 1042
: 1046 2 -1 I 
: 1050 4 6 tried 
: 1058 2 6 my 
: 1062 4 3 best 
: 1070 2 1 and 
: 1074 4 -1 I 
: 1082 4 6 came 
: 1088 4 8 so 
: 1094 8 1 far 
- 1104
: 1110 2 -1 But 
: 1114 8 4 you 
: 1126 2 3 will 
: 1130 4 1 ne
: 1136 4 -1 ~
: 1142 2 -1 ver 
: 1146 8 -1 know 
- 1156
: 1170 2 -1 ’Cause 
: 1174 2 -1 you 
: 1178 8 4 let 
: 1190 2 3 me 
: 1194 3 1 walk
: 1198 4 -1 ~ 
: 1206 2 -1 this 
: 1210 16 1 road 
* 1234 2 -1 a
* 1238 24 -1 lone 
- 1264
: 1332 4 -1 My 
: 1338 4 6 child
: 1344 4 3 hood 
: 1350 4 6 he
: 1356 5 3 ro
: 1362 4 1 ~ 
- 1368
: 1396 4 -1 Will 
: 1402 2 6 al
: 1406 2 3 ways 
: 1412 4 6 be 
: 1420 13 3 you
: 1434 3 1 ~
: 1438 4 -1 ~ 
- 1444
: 1460 2 -1 And 
: 1464 2 4 no 
: 1468 4 3 one 
: 1476 6 1 else 
: 1488 3 -4 comes
: 1492 4 -6 ~ 
: 1500 12 -4 close 
- 1514
: 1586 4 -1 I 
: 1592 4 6 thought 
: 1598 4 3 you’d 
: 1604 4 6 lead 
: 1610 5 3 me
: 1616 4 1 ~ 
- 1622
: 1650 4 -1 When 
: 1656 4 6 life’s 
: 1662 4 3 mis
* 1668 4 6 lea
: 1674 13 3 ding
: 1688 5 1 ~
: 1694 4 -1 ~ 
- 1700
: 1714 2 -1 That’s 
: 1718 2 4 when 
: 1722 4 3 I 
: 1730 4 1 miss 
: 1738 3 -1 you
: 1742 2 -4 ~ 
: 1746 3 -4 most
: 1750 4 -6 ~ 
- 1756
: 1813 2 -1 Eve
: 1817 2 1 ry 
: 1821 2 1 now 
: 1825 2 -1 and 
: 1829 4 1 then 
: 1837 2 -1 I’m 
: 1841 4 1 drawn 
: 1849 4 1 to 
: 1857 4 3 pla
: 1865 3 1 ces
: 1869 4 -1 ~ 
- 1877
: 1877 2 -1 Where 
: 1881 2 1 I 
: 1885 2 1 hear 
: 1889 2 -1 your 
: 1893 4 1 voice 
: 1901 2 -1 or 
: 1905 4 1 see 
: 1913 4 1 your 
: 1921 6 3 face 
- 1928
: 1929 3 1 And
: 1933 4 -1 ~ 
: 1941 2 -1 eve
: 1945 2 1 ry 
: 1949 2 1 lit
: 1953 2 -1 tle 
: 1957 4 1 thought 
: 1965 2 -1 will 
: 1969 4 1 lead 
: 1977 4 1 me 
: 1985 4 3 right 
: 1993 4 1 back 
: 2001 3 -1 to
: 2005 2 -4 ~ 
: 2009 4 -4 you 
- 2015
: 2042 2 -1 I 
: 2046 2 -6 was 
: 2050 3 -1 born
: 2054 2 1 ~ 
: 2058 4 -1 from 
* 2066 3 6 one
* 2070 4 3 ~ 
: 2078 3 3 love
: 2082 4 1 ~ 
: 2094 2 -1 of 
* 2098 3 6 two
* 2102 4 3 ~ 
: 2110 4 3 hearts 
- 2118
: 2118 2 1 We 
: 2122 4 -1 were 
: 2130 3 6 three
: 2134 4 3 ~ 
: 2142 4 3 kids 
: 2150 2 1 and 
: 2154 4 -1 a 
: 2162 2 6 lo
: 2166 3 6 ving
: 2170 2 3 ~ 
: 2174 5 3 mum
: 2180 2 1 ~ 
- 2184
: 2190 2 -1 You 
: 2194 8 4 made 
: 2206 2 3 this 
: 2210 5 1 place
: 2216 4 -1 ~ 
: 2222 2 -1 a 
: 2226 5 -4 home
: 2232 4 -6 ~ 
- 2238
: 2254 2 -1 A 
: 2258 8 4 shel
: 2270 2 3 ter 
: 2274 5 1 from
: 2280 4 -1 ~ 
: 2286 2 -1 the 
: 2290 8 -1 storm 
- 2302
: 2302 2 -1 You 
: 2306 2 -1 said 
: 2310 2 1 I 
: 2314 4 -1 had 
: 2322 7 6 one
: 2330 2 3 ~ 
: 2334 4 3 life 
: 2340 2 1 and 
: 2344 4 -1 a 
: 2352 5 6 true
: 2358 4 3 ~ 
: 2364 7 3 heart
: 2372 2 1 ~ 
- 2376
: 2380 2 -1 I 
: 2384 2 6 tried
: 2387 2 3 ~ 
: 2392 2 6 my 
: 2396 4 3 best 
: 2404 2 1 and 
: 2408 4 -1 I 
: 2416 4 6 came 
: 2422 4 8 so 
: 2428 8 1 far 
- 2438
: 2444 2 -1 But 
: 2448 8 4 you 
: 2460 2 3 will 
: 2464 4 1 ne
: 2470 4 -1 ~
: 2476 2 -1 ver 
: 2480 8 -1 know 
- 2490
: 2504 2 -1 ’Cause 
: 2508 2 -1 you 
: 2512 8 4 let 
: 2524 2 3 me 
: 2528 3 1 walk
: 2532 4 -1 ~ 
: 2540 2 -1 this 
: 2544 16 1 road 
: 2568 2 -1 a
: 2572 24 -1 lone 
- 2598
: 2604 2 -1 Ooh 
* 2608 3 6 whoa
* 2612 3 3 ~
* 2616 3 6 ~
* 2620 13 3 ~
* 2634 9 1 ~
* 2644 2 -1 ~, 
- 2648
: 2668 2 -1 Ooh 
: 2672 3 6 whoa
: 2676 3 3 ~
: 2680 3 6 ~
: 2684 15 3 ~
: 2700 3 1 ~
: 2704 8 -1 ~, 
- 2714
: 2730 2 -1 Ooh 
: 2734 3 6 whoa
: 2738 3 3 ~
: 2742 3 6 ~
: 2746 23 3 ~
* 2770 32 4 ~ 
- 2806
: 2806 2 6 I 
: 2810 2 4 was 
: 2814 3 6 born
: 2818 2 4 ~ 
: 2822 4 4 from 
: 2830 3 6 one
: 2834 4 4 ~ 
: 2842 8 6 love 
: 2858 2 4 of 
: 2862 3 6 two
: 2866 4 3 ~ 
: 2874 4 6 hearts 
- 2882
: 2882 2 6 We 
: 2886 2 6 were
: 2889 2 4 ~ 
* 2894 3 6 three
* 2898 4 4 ~ 
: 2906 4 6 kids 
: 2914 2 4 and 
: 2918 4 6 a 
* 2926 4 8 lo
* 2932 2 6 ving 
: 2938 5 3 mum
: 2944 4 1 ~
: 2949 2 -1 ~ 
- 2952
: 2954 2 -1 You 
: 2958 8 4 made 
: 2970 2 3 this 
: 2974 5 1 place
: 2980 4 -1 ~ 
: 2986 2 -1 a 
: 2990 5 -4 home
: 2996 4 -6 ~ 
- 3002
: 3018 2 -1 A 
: 3022 8 4 shel
: 3034 2 3 ter 
: 3038 5 1 from
: 3044 4 -1 ~ 
: 3050 2 -1 the 
: 3054 8 -1 storm 
- 3066
: 3066 2 -1 You 
: 3070 2 -1 said 
: 3074 2 1 I 
: 3078 4 -1 had 
* 3086 7 6 one
: 3094 2 3 ~ 
: 3098 4 3 life 
: 3104 2 1 and 
: 3108 4 -1 a 
: 3116 5 6 true
: 3122 4 3 ~ 
: 3128 7 3 heart 
- 3137
: 3144 2 -1 I 
: 3148 4 6 tried 
: 3156 2 6 my 
: 3160 4 3 best 
: 3168 2 1 and 
: 3172 4 -1 I 
: 3180 4 6 came 
: 3186 4 8 so 
: 3192 8 1 far 
- 3202
: 3208 2 -1 But 
: 3212 8 4 you 
: 3224 2 3 will 
: 3228 4 1 ne
: 3234 4 -1 ~
: 3240 2 -1 ver 
: 3244 8 -1 know 
- 3254
: 3268 2 -1 ’Cause 
: 3272 2 -1 you 
: 3276 8 4 let 
: 3288 2 3 me 
: 3292 3 1 walk
: 3296 4 -1 ~ 
: 3304 2 -1 this 
* 3308 16 1 road 
* 3334 2 -1 a
* 3338 22 -1 lone 
E
