#ARTIST:Beyoncé
#TITLE:Sweet Dreams Medley (Live At Wynn Las Vegas, I Am… Yours Tour)
#MP3:Beyoncé - Sweet Dreams Medley (Live At Wynn Las Vegas, I Am… Yours Tour).mp3
#CREATOR:B'Fan
#GENRE:Soul, R&B
#YEAR:2009
#LANGUAGE:English
#BPM:249.96
#GAP:58060
#VIDEO:v=zOVB7OILOlA,co=i-am-yours-an-intimate-performance-at-wynn-las-vegas-531d9bb56908f.jpg,bg=knowles-beyonc-5084b0d7df5f8.jpg
: 0 5 10 Eve
: 1412 3 6 na 
: 1416 4 11 wake 
: 1422 3 12 up 
: 1427 4 6 from 
: 1433 69 12 you 
- 1504
: 1594 4 11 Wake 
: 1600 2 9 up 
: 1604 3 8 from 
: 1608 110 11 you 
- 1720
: 1783 14 8 Tat
: 1799 9 9 too 
: 1811 8 9 your 
: 1821 6 11 na
: 1829 3 10 ~me 
: 1834 4 10 a
: 1839 11 8 cross 
: 1852 10 6 my 
: 1864 3 3 hea
: 1869 17 5 ~rt 
- 1888
: 1964 7 10 Not 
: 1973 10 8 e
: 1984 10 8 ven 
: 1995 8 17 death 
: 2006 9 15 can 
: 2017 9 13 do 
: 2028 8 13 us 
: 2038 60 11 part 
- 2100
: 2135 8 8 Tat
: 2145 9 8 too 
: 2156 8 9 your 
: 2167 10 11 name 
: 2179 6 10 a
: 2187 11 8 cross 
: 2200 9 6 my 
: 2212 29 3 heart 
- 2243
: 2310 8 10 Not 
: 2320 10 8 e
: 2331 11 8 ven 
: 2343 9 17 death 
: 2354 9 15 can 
: 2364 9 13 do 
: 2375 9 13 us 
: 2386 40 11 part 
- 2428
: 2436 2 9 What 
: 2440 4 10 kind 
: 2446 4 6 of 
: 2452 5 12 dream 
: 2459 3 15 is 
: 2463 41 17 this? 
- 2506
: 2627 6 6 I 
: 2635 13 10 love 
: 2651 27 3 you 
- 2680
: 2722 7 7 I 
: 2730 8 10 love 
: 2739 6 6 you 
- 2747
: 2767 5 6 I 
: 2773 9 7 lo
: 2783 3 9 ~ve 
: 2788 27 4 you 
- 2817
: 2856 3 5 Ba
: 2860 3 5 by 
: 2866 5 7 I 
: 2872 8 6 love 
: 2882 6 3 you 
- 2890
: 2895 5 5 You 
: 2902 4 7 are 
: 2909 5 9 my 
: 2916 9 10 life 
- 2927
: 2935 2 5 My 
: 2938 3 8 hap
: 2942 2 11 pi
: 2945 1 11 est 
: 2948 3 5 mo
: 2953 3 7 ments 
: 2958 6 8 we
: 2966 1 5 ren’t 
: 2970 1 5 be 
: 2973 1 6 com
: 2975 2 8 plete 
: 2980 1 5 if 
: 2982 3 5 you 
: 2987 1 9 we
: 2989 3 5 ren’t 
: 2994 2 7 by 
: 2997 1 8 my 
: 3001 9 4 side 
- 3012
: 3019 3 5 You’re 
: 3025 7 8 my 
: 3035 3 7 re
: 3040 4 9 la
: 3044 6 9 tion 
- 3052
: 3056 2 7 And 
: 3060 2 9 con
: 3063 2 9 nec
: 3066 5 5 tion 
: 3073 4 5 to 
: 3078 2 7 the 
: 3082 10 5 sun 
- 3094
: 3101 2 5 With 
: 3105 1 7 you 
: 3108 3 5 next 
: 3113 2 6 to 
: 3116 4 4 me, 
: 3124 3 5 there’s 
: 3129 2 2 no 
: 3134 5 3 dark
: 3140 5 3 ness 
: 3146 2 6 I 
: 3150 4 5 can’t 
: 3156 4 8 o
: 3161 2 8 ver 
: 3165 12 5 come 
- 3179
: 3185 6 5 You 
: 3193 6 7 are 
: 3201 4 10 my 
: 3207 6 7 rain
: 3214 6 5 drops 
- 3222
: 3230 4 9 I 
: 3236 4 7 am 
: 3242 3 5 the 
: 3248 14 3 seed 
- 3264
: 3266 2 5 With 
: 3269 3 5 you 
: 3274 2 5 and 
: 3278 3 9 God, 
: 3283 2 3 who’s 
: 3287 3 6 my 
: 3291 3 5 sun
: 3296 2 7 light 
: 3300 2 5 I’ll 
: 3303 3 5 bloom 
: 3308 2 5 and 
: 3312 3 5 grow 
: 3317 2 3 so 
: 3320 5 7 beau
: 3326 2 9 ti
: 3329 2 9 ful
: 3332 5 9 ly 
- 3339
: 3351 14 10 Baby 
: 3368 5 8 I’m 
: 3375 4 6 so 
: 3381 8 4 proud, 
: 3399 1 5 so 
: 3402 1 6 proud 
: 3405 1 3 to 
: 3407 3 7 be 
: 3412 3 5 your 
: 3416 7 9 girl 
- 3425
: 3431 1 5 You 
: 3434 3 7 make 
: 3439 3 5 this 
: 3443 1 3 con
: 3446 4 6 fu
: 3451 3 6 sion 
: 3456 2 5 go 
: 3460 2 3 on 
: 3464 2 8 a
: 3466 2 8 way 
: 3470 3 5 from 
: 3475 3 5 this 
: 3479 4 9 cold 
: 3484 2 5 and 
: 3488 6 7 mixed 
: 3496 10 2 world 
- 3508
: 3517 4 7 I’m 
: 3523 3 5 in 
: 3528 3 8 love 
: 3534 3 9 with 
: 3538 6 5 you 
- 3546
: 3551 1 7 You 
: 3554 11 9 set 
: 3567 2 8 me 
: 3571 6 6 free 
- 3579
: 3586 3 9 I 
: 3591 4 7 can’t 
: 3597 10 5 do 
: 3609 3 7 this 
: 3614 5 7 thing 
: 3621 2 8 called 
: 3625 4 8 life 
: 3630 3 4 with
: 3634 4 4 out 
: 3641 6 4 you 
: 3649 3 6 here 
: 3653 4 6 with 
: 3658 4 7 me 
: 3663 1 5 ’cause 
: 3665 1 7 I’m 
- 3668
: 3672 4 6 Dan
: 3677 2 6 ge
: 3680 2 6 rous
: 3683 2 6 ly 
: 3686 2 5 in 
: 3690 4 5 love 
: 3696 3 8 with 
: 3701 9 6 you 
- 3712
: 3721 3 9 I’ll 
: 3726 8 10 ne
: 3736 3 8 ver 
: 3741 6 6 leave 
- 3749
: 3753 8 8 Just 
: 3763 4 10 keep 
: 3768 9 9 lo
: 3779 3 7 vin’ 
: 3784 5 5 me, 
: 3793 1 7 the 
: 3796 3 9 way 
: 3801 2 6 I 
: 3805 5 7 love, 
: 3811 6 4 you 
: 3818 6 7 love 
: 3826 6 9 me
: 3834 36 11 ~ 
- 3871
: 3871 1 8 Ye
: 3874 5 12 ay 
- 3881
: 3888 2 7 Eve
: 3891 3 7 ry
: 3895 5 10 time 
: 3902 3 7 I 
: 3906 4 9 see
: 3912 5 11 ~ 
: 3919 3 5 your 
: 3925 16 7 face 
- 3943
: 3945 3 7 My 
: 3949 7 5 heart 
: 3960 4 9 smi
: 3966 5 12 ~les 
- 3972
: 3972 2 9 Eve
: 3974 1 9 ry
: 3976 8 8 time 
: 3988 2 7 it 
: 3992 4 8 fee
: 3998 8 10 ~ls 
: 4008 3 7 so 
: 4014 9 5 good, 
: 4024 3 6 it 
: 4029 9 3 hurts 
: 4040 3 5 some
: 4045 9 7 times 
- 4056
: 4062 2 9 Cre
: 4065 2 9 a
: 4068 4 9 ted 
: 4073 2 9 in 
: 4075 3 9 this 
: 4079 7 7 world 
: 4087 9 7 to 
: 4097 8 8 love, 
: 4113 1 7 to 
: 4116 5 5 hold, 
: 4134 1 7 to 
: 4137 10 9 feel, 
: 4153 1 7 to 
: 4157 11 10 breathe, 
: 4175 4 7 to 
: 4180 4 8 live 
: 4187 5 9 you
: 4194 4 5 u
: 4199 6 7 u
: 4207 6 4 u
: 4215 12 8 u
: 4230 54 10 u 
- 4286
: 4310 3 10 Dan
: 4314 2 10 ge
: 4317 3 10 rous
: 4321 11 10 ly 
: 4336 13 10 in 
: 4351 25 9 lo
: 4377 20 11 ~
: 4399 4 8 ~ve 
- 4404
: 4405 52 9 Yeah 
- 4459
: 4475 1 7 Can 
: 4478 4 9 do 
: 4484 2 7 this 
: 4488 5 8 thing 
: 4494 2 8 with
: 4497 3 8 out 
: 4501 3 6 you 
: 4506 3 6 here 
: 4510 2 7 with 
: 4514 4 7 me 
- 4520
: 4528 7 9 Hol
: 4536 10 9 ding 
: 4547 6 6 me, 
: 4563 8 9 kis
: 4572 9 9 sing 
: 4583 9 6 me, 
: 4597 9 9 lo
: 4608 10 11 ~
: 4620 3 9 ving 
: 4625 21 8 me 
- 4648
: 4668 21 8 Dan
: 4690 1 8 ge
: 4692 3 8 rous
: 4696 43 10 ly 
: 4743 1 5 in 
: 4745 2 5 love 
- 4749
: 4842 19 10 Da
: 4861 1 7 ~n
: 4863 2 7 ge
: 4866 3 7 rous
: 4870 8 11 ly
: 4880 8 12 ~
: 4890 9 10 ~
: 4901 87 12 ~ 
- 4990
: 5027 5 5 I 
: 5033 15 8 love 
: 5052 24 5 you 
- 5078
: 5194 15 6 I 
: 5213 5 4 lo
: 5220 10 8 ~
: 5231 3 5 ~ve 
: 5236 9 4 you
: 5247 47 7 ~ 
- 5296
: 5367 4 9 I 
: 5373 1 7 lo
: 5376 2 8 ~
: 5381 4 9 ~
: 5388 2 8 ~
: 5392 2 9 ~
: 5395 24 10 ~ve 
- 5421
: 5539 5 7 I 
: 5545 4 5 lo
: 5551 3 6 ~
: 5556 1 7 ~
: 5559 6 8 ~
: 5567 4 9 ~
: 5573 21 10 ~
: 5596 3 6 ~ve 
- 5601
: 5703 5 6 I 
: 5711 12 7 lo
: 5724 43 6 ~ve 
- 5769
: 6083 15 7 Wi
: 6100 11 5 ~th 
: 6118 7 5 all 
: 6128 8 5 my 
: 6138 9 7 heart 
: 6149 9 7 I 
: 6160 9 6 lo
: 6171 3 5 ~ve 
: 6176 6 4 you 
: 6184 2 9 ba
: 6188 9 10 by 
- 6199
: 6209 5 5 Stay 
: 6215 7 7 with 
: 6225 16 9 me, 
: 6246 4 6 and 
: 6252 5 7 you 
: 6258 3 9 wi
: 6263 5 10 ~ll 
: 6270 9 9 see 
- 6280
: 6281 10 7 My 
: 6293 20 7 arms 
: 6321 7 7 will 
: 6330 13 5 hold 
: 6345 11 6 you, 
: 6357 8 8 ba
: 6365 10 8 by 
- 6377
: 6383 6 8 Ne
: 6389 6 8 ver 
: 6398 21 5 leave, 
: 6422 4 5 ’cause 
: 6427 4 7 I 
: 6433 7 8 be
: 6442 8 9 lieve 
- 6451
: 6453 4 7 In 
: 6459 4 8 this 
: 6465 17 9 love, 
: 6497 9 11 sweet 
: 6508 24 9 love 
- 6534
: 6542 3 7 Hear 
: 6547 3 8 you 
: 6552 8 7 cal
: 6562 3 9 ling 
: 6567 5 6 out 
: 6574 4 7 my 
: 6579 10 7 name, 
: 6600 4 8 I 
: 6606 3 9 feel 
: 6611 4 6 no 
: 6617 11 5 shame 
- 6629
: 6629 2 7 I’m 
: 6633 4 6 in 
: 6638 25 8 love, 
: 6670 9 9 sweet 
: 6680 23 8 love 
- 6705
: 6713 3 7 Don’t 
: 6718 4 8 you 
: 6724 7 9 e
: 6733 7 9 ver 
: 6741 5 6 go 
: 6747 3 5 a
: 6751 10 5 way, 
: 6768 1 8 it 
: 6770 2 8 will 
: 6773 4 9 al
: 6778 5 9 ways 
: 6784 3 5 be 
: 6790 2 7 this 
: 6794 11 8 way 
- 6807
: 6824 2 5 No 
: 6828 2 7 stron
: 6830 2 7 ger 
: 6834 6 8 love 
: 6842 4 6 in 
: 6848 3 7 this 
: 6853 25 5 world 
- 6879
: 6879 3 5 Oh, 
: 6885 5 5 ba
: 6890 5 5 by 
: 6898 4 5 no, 
: 6905 4 8 you’re 
: 6912 3 5 my 
: 6917 7 9 man, 
: 6928 3 5 I’m 
: 6933 4 7 your 
: 6938 22 4 girl 
- 6962
: 6969 4 5 I’ll 
: 6975 2 5 ne
: 6978 2 5 ver 
: 6981 3 5 go, 
: 6992 1 5 wait 
: 6995 1 5 and 
: 6997 9 5 see, 
: 7008 8 5 can’t 
: 7018 3 5 be 
: 7022 27 5 wrong 
- 7051
: 7055 3 5 Don’t 
: 7060 3 5 you 
: 7065 10 5 know 
: 7076 3 5 this 
: 7082 3 5 is 
: 7087 8 5 where 
: 7098 3 5 you 
: 7103 4 5 be
: 7109 16 5 long 
- 7127
: 7160 5 7 So 
: 7167 16 13 sweet
: 7183 15 13 ly, 
: 7204 4 8 so 
: 7209 32 12 sweet, 
: 7246 5 7 so 
: 7252 90 12 sweet 
- 7344
: 7590 2 7 Just 
: 7594 3 5 love 
: 7599 3 8 me 
: 7605 4 10 sweet
: 7610 4 13 ly, 
: 7616 4 8 ba
: 7620 4 8 by 
- 7626
: 7632 3 7 Just 
: 7638 3 5 love 
: 7643 3 8 me 
: 7648 4 10 sweet
: 7654 2 13 ly, 
: 7659 4 8 ba
: 7663 4 8 by 
- 7669
: 8018 2 5 Oh 
: 8022 4 6 ba
: 8027 6 6 by 
: 8035 8 8 I
F 8046 1 5 ~, 
: 8057 3 8 I’m 
: 8062 3 7 in 
: 8066 3 5 love 
: 8071 6 7 with 
: 8079 7 5 you, 
: 8106 3 5 you 
: 8111 16 7 set 
: 8130 2 7 me 
: 8133 11 9 free 
- 8146
: 8169 1 7 I 
: 8172 2 8 can 
: 8176 3 9 do
: 8180 3 10 ~
: 8185 3 12 ~
: 8190 13 11 ~ 
: 8205 2 7 this 
: 8208 6 8 thing 
: 8216 3 6 called 
: 8221 7 6 live 
: 8229 2 4 with
: 8232 10 4 out 
: 8255 12 7 you 
- 8268
: 8269 7 9 Dan
: 8278 10 7 ge
: 8290 4 10 rous
: 8296 6 10 ly
: 8303 3 11 ~
: 8308 33 12 ~ 
: 8343 1 8 in 
: 8345 25 10 lo
: 8372 14 8 ~ve 
E
