#ARTIST:Linkin Park
#TITLE:Stained [DUET]
#MP3:Linkin Park - Stained [DUET].mp3
#CREATOR:DoubleDee
#EDITION:[DUET]-Songs
#COVER:Linkin Park - Stained [DUET] [CO].jpg
#BACKGROUND:Linkin Park - Stained [DUET] [BG].jpg
#GENRE:Alternative Rock
#YEAR:2024
#LANGUAGE:English
#BPM:368
#GAP:19920
#VIDEO:v=TWmOZB-9xAw,co=https://i.ytimg.com/vi/TWmOZB-9xAw/maxresdefault.jpg,co-crop=280-2-718-718,bg=linkin-park-68718cc580e09.jpg,p1=Mike,p2=Emily,preview=51.22
P1
: 0 3 6 Yeah
: 1700 2 10 the 
: 1704 7 10 night
: 1712 6 10 mare 
: 1720 4 10 you’ve 
: 1728 6 10 been 
: 1736 3 10 li
: 1740 3 10 vin’
: 1744 60 13 ~ 
- 1806
: 1808 3 10 But 
: 1812 3 10 we 
: 1816 7 11 both 
: 1824 3 10 know 
: 1828 3 8 for
: 1832 3 10 got
: 1836 3 8 ten 
: 1840 3 10 doe
: 1844 3 8 sn’t 
: 1848 6 10 mean 
: 1856 7 10 for
: 1864 3 10 gi
: 1868 12 8 ven 
- 1890
* 1904 7 10 For
* 1912 3 10 gi
* 1916 6 8 ven 
- 1926
: 1928 3 13 Know
: 1932 3 13 in’ 
: 1936 3 13 your 
: 1944 6 13 hi
: 1952 3 11 ding 
: 1956 3 10 when 
: 1960 3 10 no 
: 1964 3 10 one 
: 1968 6 10 else 
: 1976 8 10 sees 
- 1990
: 1992 6 13 Close–
: 2000 5 13 lipped 
: 2008 7 13 smile 
: 2016 3 11 cause 
: 2020 3 10 there’s 
: 2024 3 11 blood 
: 2028 2 10 on 
: 2032 5 10 your 
: 2040 8 10 teeth 
- 2054
: 2056 3 13 What 
: 2060 3 13 you 
* 2064 7 13 for
* 2072 7 15 get 
: 2080 2 10 you 
: 2084 3 8 were 
: 2088 3 10 gon
: 2092 3 8 na 
: 2096 7 10 re
: 2104 4 10 peat 
- 2110
: 2112 2 13 You 
: 2116 3 13 don’t 
: 2120 2 13 get 
: 2124 2 13 to 
: 2128 3 13 make 
: 2132 2 10 a
: 2136 7 13 mends 
: 2144 3 13 like 
: 2148 3 10 your 
: 2152 6 13 hands 
: 2160 6 13 still 
* 2168 7 13 clea
* 2176 3 10 ~n 
- 2228
: 2328 10 11 Fade
: 2339 10 15 ~
: 2351 15 13 ~ 
- 2390
: 2464 7 23 Pre
: 2472 7 23 tend 
: 2480 4 25 you’re 
: 2488 11 25 spot
: 2500 3 23 less
: 2504 3 22 ~ 
- 2556
: 2760 3 13 Know
: 2764 3 13 in’ 
: 2768 3 13 your 
: 2776 6 13 hi
: 2784 3 11 ding 
: 2788 3 10 when 
: 2792 3 10 no 
: 2796 3 10 one 
: 2800 6 10 else 
: 2808 8 10 sees 
- 2840
: 2888 6 13 Close–
: 2896 5 13 lipped 
: 2904 7 13 smile 
: 2912 3 11 cause 
: 2916 3 10 there’s 
: 2920 3 11 blood 
: 2924 2 10 on 
: 2928 5 10 your 
: 2936 8 10 teeth 
- 2968
: 3016 3 13 Don’t 
: 3020 3 13 you 
: 3024 7 13 for
: 3032 3 13 get
: 3036 3 15 ~ 
: 3040 3 10 you 
: 3044 3 8 were 
: 3048 3 10 gon
: 3052 2 8 na 
: 3056 7 10 re
: 3064 8 10 peat 
- 3078
: 3080 3 13 Try
: 3084 3 13 na 
: 3088 3 13 make 
: 3092 3 10 a
: 3096 6 15 mends 
: 3104 4 10 like 
: 3109 2 8 your 
: 3112 6 10 hand’s 
: 3120 7 10 still 
: 3128 9 10 clean 
- 3142
: 3144 3 13 But 
: 3148 3 10 we 
: 3152 5 13 both 
: 3160 7 13 know 
: 3168 3 13 that 
: 3172 3 10 your 
: 3176 6 13 hand’s 
: 3184 5 13 not 
: 3192 7 13 clea
: 3200 1 10 ~n 
- 3250
: 3488 7 23 Pre
: 3496 7 23 tend 
: 3504 4 25 you’re 
: 3512 11 25 spot
: 3524 3 23 less
: 3528 4 22 ~ 
- 3534
: 3536 3 18 But 
: 3540 11 25 I
: 3552 7 25 don’t 
: 3560 6 25 wash 
: 3568 3 23 a
: 3573 7 22 way 
- 3582
: 3584 3 22 And 
: 3588 6 22 now 
: 3596 3 20 you
: 3600 4 18 ~’re 
: 3608 55 18 stai
: 3664 16 17 ~ned 
- 3690
: 3712 3 22 And 
: 3716 6 20 now 
: 3724 8 18 you’re 
: 3736 55 18 stai
: 3792 16 17 ~ned 
- 3818
: 3840 3 22 And 
: 3844 6 22 now 
: 3852 8 18 you’re 
* 3864 55 18 stai
* 3920 34 20 ~ned 
P2
: 768 3 15 Be
: 772 7 15 cause 
: 780 7 13 you’re 
: 792 10 15 stai
: 804 10 23 ~
: 816 21 22 ~ned 
- 845
: 848 3 22 You 
: 852 11 20 try 
: 864 2 22 to 
: 868 9 20 hide 
: 880 2 22 the 
: 884 7 20 mark 
- 893
: 895 3 18 But 
: 899 4 15 it 
: 907 7 13 won’t 
: 920 10 15 fade
: 931 10 23 ~
: 943 15 22 ~ 
- 968
: 976 3 22 You 
: 980 9 20 lie 
: 992 2 22 and 
: 996 11 20 lie 
: 1008 3 22 like 
: 1012 9 20 I 
: 1023 3 18 was 
: 1027 7 15 no
: 1035 9 13 thing 
- 1053
* 1056 7 23 Pre
* 1064 7 23 tend 
: 1072 4 22 you’re 
: 1080 11 22 spot
: 1092 3 20 less
: 1096 3 18 ~ 
- 1102
: 1104 3 18 But 
: 1108 3 20 I
: 1112 7 22 ~ 
: 1120 7 25 don’t 
: 1128 6 20 wash 
: 1136 3 22 a
: 1141 10 18 way 
- 1153
: 1155 6 18 Now 
: 1164 3 18 you
: 1168 5 15 ~’re 
* 1175 11 15 stai
* 1188 11 23 ~
* 1200 7 22 ~
* 1208 11 13 ~
* 1220 3 20 ~
* 1224 7 22 ~
* 1232 16 17 ~ned 
- 1258
: 1284 6 18 Now 
: 1292 3 18 you
: 1296 4 15 ~’re 
: 1304 11 15 stai
: 1316 3 22 ~
: 1320 7 23 ~
: 1328 7 22 ~
: 1336 11 13 ~
: 1348 3 20 ~
: 1352 7 22 ~
: 1360 16 17 ~ned 
- 1425
: 1496 7 15 Sweat 
: 1504 3 15 in 
: 1508 3 13 your 
: 1512 6 15 hands 
: 1520 3 15 while 
: 1524 2 13 the 
: 1528 7 15 time 
: 1536 7 15 starts 
: 1544 4 15 tick
: 1549 11 13 ing 
- 1584
: 1624 3 15 Trip
: 1628 3 13 pin’ 
: 1632 7 15 on 
: 1640 7 15 words, 
: 1648 3 15 a
: 1652 3 13 li
: 1656 5 15 bi 
: 1664 6 15 starts 
: 1672 3 15 slip
: 1677 11 13 ping 
- 1712
: 1744 3 15 Wan
: 1748 3 15 na
: 1752 6 18 wake 
: 1760 3 15 from 
: 1764 2 15 the 
: 1768 7 15 night
: 1776 6 15 mare 
: 1784 4 15 you’ve 
: 1792 6 15 been 
: 1800 3 15 li
: 1804 3 15 vin’
: 1808 12 18 ~ 
- 1844
: 1880 6 15 Mean 
: 1888 7 15 for
: 1896 3 15 gi
: 1900 11 13 ven 
- 1935
: 2008 15 18 Oh
: 2024 3 20 ~
: 2028 11 22 ~ 
: 2040 15 17 oh
: 2056 15 18 ~
: 2072 62 15 ~ 
- 2144
: 2176 3 15 Be
: 2180 7 15 cause 
: 2188 7 13 you’re 
: 2200 10 15 stai
: 2212 10 23 ~
: 2224 14 22 ~ned 
- 2248
: 2256 3 22 You 
: 2260 11 20 try 
: 2272 2 22 to 
: 2276 9 20 hide 
: 2288 2 22 the 
: 2292 7 20 mark 
- 2301
: 2303 3 18 But 
: 2307 4 15 it 
: 2315 7 13 won’t 
: 2328 10 15 fade
: 2339 10 23 ~
: 2351 15 22 ~ 
- 2376
: 2384 3 22 You 
: 2388 9 20 lie 
: 2400 2 22 and 
: 2404 11 20 lie 
: 2416 3 22 like 
: 2420 9 20 I 
: 2431 3 18 was 
: 2435 7 15 no
: 2443 9 13 thing 
- 2461
: 2464 7 23 Pre
: 2472 7 23 tend 
: 2480 4 22 you’re 
: 2488 11 22 spot
: 2500 3 20 less
: 2504 3 18 ~ 
- 2510
: 2512 3 18 But 
: 2516 3 20 I
: 2520 7 22 ~ 
: 2528 7 25 don’t 
: 2536 6 20 wash 
: 2544 3 22 a
: 2549 7 18 way 
- 2558
: 2560 3 18 And 
: 2564 6 18 now 
: 2572 3 18 you
: 2576 4 15 ~’re 
: 2584 11 15 stai
: 2596 3 22 ~
: 2600 7 23 ~
: 2608 7 22 ~
: 2616 11 13 ~
: 2628 3 20 ~
: 2632 7 22 ~
: 2640 16 17 ~ned 
- 2666
: 2692 7 15 And 
: 2700 11 13 some
: 2712 11 15 day
: 2724 11 23 ~
: 2736 28 22 ~ 
- 2788
: 2820 7 15 And 
: 2828 11 13 some
: 2840 11 15 day
: 2852 11 23 ~
: 2864 28 22 ~ 
- 2916
: 2948 6 15 And 
: 2956 11 13 some
: 2968 11 15 day
: 2980 11 23 ~
: 2992 32 22 ~ 
- 3073
: 3204 6 15 And 
: 3212 11 13 some
: 3224 11 15 day
: 3236 11 23 ~
: 3248 20 22 ~ 
- 3277
: 3280 3 22 Your 
: 3284 10 20 hands 
: 3296 3 22 will 
: 3300 8 20 be 
: 3312 3 22 too 
: 3316 8 20 red 
: 3328 3 18 to 
: 3332 6 15 hide 
: 3340 7 13 the 
- 3350
: 3352 11 15 Blame
: 3364 10 23 ~
: 3376 18 22 ~ 
- 3404
: 3408 3 22 You 
: 3412 9 20 re
: 3424 3 22 a
: 3428 9 20 lize 
: 3440 3 22 you 
: 3444 11 20 had 
: 3456 3 22 it 
: 3460 3 15 co
: 3464 3 13 ~
: 3468 7 13 ming 
- 3484
: 3488 7 23 Pre
: 3496 7 23 tend 
: 3504 4 22 you’re 
: 3512 11 22 spot
: 3524 3 20 less
: 3528 3 18 ~ 
- 3534
: 3536 3 18 But 
: 3540 3 20 I
: 3544 7 22 ~ 
: 3552 7 25 don’t 
: 3560 6 20 wash 
: 3568 3 22 a
: 3573 7 18 way 
- 3582
: 3584 3 18 And 
: 3588 6 18 now 
: 3596 3 18 you
: 3600 4 15 ~’re 
: 3608 11 15 stai
: 3620 3 22 ~
: 3624 7 23 ~
: 3632 7 22 ~
: 3640 11 13 ~
: 3652 3 20 ~
: 3656 7 22 ~
: 3664 16 17 ~ned 
- 3690
: 3712 3 18 And 
: 3716 6 18 now 
: 3724 3 18 you
: 3728 4 15 ~’re 
: 3736 11 15 stai
: 3748 3 22 ~
: 3752 7 23 ~
: 3760 7 22 ~
: 3768 11 13 ~
: 3780 3 20 ~
: 3784 7 22 ~
: 3792 16 17 ~ned 
- 3818
: 3840 3 18 And 
: 3844 6 18 now 
: 3852 3 18 you
: 3856 4 15 ~’re 
* 3864 11 15 stai
* 3876 3 22 ~
* 3880 7 23 ~
* 3888 7 22 ~
* 3896 11 13 ~
* 3908 3 20 ~
* 3912 7 22 ~
* 3920 34 25 ~ned 
E
