#ARTIST:Beyoncé
#TITLE:Halo
#MP3:Beyoncé - Halo.mp3
#CREATOR:perzu25
#GENRE:R&B
#YEAR:2008
#LANGUAGE:English
#BPM:320
#GAP:25780
#VIDEO:v=bnVUHWCynig,co=halo-6225fbab2fee5.jpg,bg=knowles-beyonc-5084b0d7df5f8.jpg
: 0 2 4 Re
: 1476 2 21 Ha
: 1480 2 23 ~
: 1484 25 21 lo, 
: 1512 3 28 oh
: 1516 4 25 ~, 
- 1522
: 1540 2 23 Hit 
: 1544 2 25 me 
: 1548 2 25 like 
: 1552 2 25 a 
: 1556 3 25 ray
: 1560 2 23 ~
: 1564 2 23 of 
* 1570 17 26 sun, 
- 1589
: 1608 2 21 Bur
: 1612 2 23 ning 
: 1616 2 23 through 
: 1620 2 23 my 
: 1624 2 23 da
: 1628 2 25 ~r
: 1632 2 21 kest 
: 1636 2 21 ni
: 1640 1 20 ~
: 1642 1 18 ~
: 1644 1 16 ~
: 1646 1 13 ~
: 1648 2 11 ~
: 1651 6 9 ~ght, 
- 1659
: 1668 2 21 You’re 
: 1672 2 21 the 
: 1676 3 21 on
: 1680 2 21 ly 
: 1684 2 21 one 
: 1688 2 21 that 
: 1692 2 21 I 
: 1698 3 23 wa
: 1702 10 21 ~nt, 
- 1714
: 1720 2 16 Think 
: 1724 2 16 I’m 
: 1728 2 16 ad
: 1732 6 21 dic
: 1740 4 21 ted 
: 1748 2 21 to
: 1752 2 14 ~ 
: 1756 2 14 your 
: 1760 3 14 li
: 1764 11 13 ~ght, 
- 1777
: 1792 2 16 I 
: 1796 3 25 swore 
: 1800 2 25 I’d 
: 1804 2 25 ne
: 1808 2 25 ver 
: 1812 3 25 fa
: 1816 2 23 ~ll 
: 1820 2 23 a
: 1824 7 23 gai
: 1832 14 21 ~n, 
- 1848
: 1856 2 16 But 
: 1860 2 23 this 
: 1864 2 25 don’t 
* 1868 3 25 e
: 1872 2 25 ven 
: 1876 3 25 fee
: 1880 2 23 ~l 
: 1884 4 23 like 
: 1892 6 23 fa
: 1900 2 21 ~l
: 1904 3 21 li
: 1908 4 18 ~ng, 
- 1914
: 1924 3 21 Gra
: 1928 3 21 vi
: 1932 4 21 ty 
: 1940 5 21 can’t 
: 1948 2 21 for
: 1952 3 23 ge
: 1956 8 21 ~
: 1967 3 18 ~t, 
- 1972
: 1984 2 16 To 
: 1988 2 21 pull 
: 1992 2 21 me 
: 1996 4 21 back 
: 2004 3 21 to
: 2008 2 14 ~ 
: 2012 2 14 the 
: 2016 4 14 ground 
: 2024 2 13 a
: 2028 10 13 gain, 
- 2040
: 2048 2 13 It’s 
: 2052 2 16 like 
: 2056 2 16 I’ve 
: 2060 2 16 been 
: 2064 2 16 a
: 2068 2 16 wa
: 2072 2 18 ~
: 2076 8 18 ~ke
: 2086 10 16 ned, 
- 2098
: 2108 2 14 Eve
: 2112 2 14 ry 
: 2116 2 14 rule 
: 2120 2 16 I 
: 2124 2 16 had 
: 2128 2 16 you 
: 2132 4 21 brea
: 2140 2 21 ki
: 2144 2 23 ~
: 2148 3 25 ~
: 2152 2 23 ~
: 2156 2 21 ~
: 2160 8 18 ~ng, 
- 2170
: 2172 2 14 It’s 
: 2176 2 14 the 
: 2180 4 16 risk 
: 2188 2 16 that 
: 2192 2 16 I’m 
: 2196 6 21 ta
: 2204 6 21 ki
: 2212 3 16 ~
: 2216 3 14 ~
: 2220 2 13 ~
: 2224 4 11 ~ng, 
- 2230
: 2240 2 13 I’m 
: 2244 3 16 ne
: 2248 2 16 ver 
: 2252 3 16 gon
: 2256 2 16 na 
: 2260 5 16 shut 
: 2268 2 21 you 
: 2273 5 21 ou
: 2280 3 23 ~
: 2284 3 25 ~t, 
- 2289
: 2308 2 18 Eve
: 2312 3 21 ry
: 2316 2 21 where 
: 2320 2 21 I’m 
* 2324 4 21 loo
: 2332 2 21 king 
: 2336 3 21 no
: 2340 14 23 ~w, 
- 2356
: 2364 2 21 I’m 
: 2368 2 21 sur
: 2372 3 23 roun
: 2376 2 23 ded 
: 2380 4 23 by 
: 2388 2 23 you
: 2392 2 25 ~r 
: 2396 3 21 em
: 2400 6 21 bra
: 2408 16 18 ~ce, 
- 2426
: 2436 3 21 Ba
: 2440 2 21 by, 
: 2444 2 21 I 
: 2448 2 21 can 
: 2452 6 21 feel 
: 2460 2 21 your 
: 2464 6 21 ha
: 2472 3 16 lo
: 2476 3 14 ~
: 2480 10 13 ~, 
- 2492
: 2500 2 21 Pray 
: 2504 2 21 it 
: 2508 4 21 won’t 
: 2516 3 21 fa
: 2520 2 20 ~de 
: 2524 2 20 a
: 2528 16 21 way, 
- 2546
: 2580 2 21 I 
: 2584 2 21 can 
: 2588 2 21 see 
: 2592 2 23 your 
: 2596 3 25 ha
: 2600 2 23 ~
: 2604 8 23 lo, 
- 2614
: 2644 2 21 I 
: 2648 2 21 can 
: 2652 2 21 feel 
: 2656 2 23 your 
: 2660 3 25 ha
: 2664 3 23 ~
: 2668 8 23 lo, 
- 2678
: 2708 2 21 I 
: 2712 2 21 can 
: 2716 2 21 see 
: 2720 2 23 your 
: 2724 3 25 ha
: 2728 3 23 ~
* 2732 8 23 lo, 
- 2742
: 2756 3 21 Ha
: 2760 3 23 ~
: 2764 26 21 lo, 
: 2792 2 28 oh
: 2796 6 25 ~, 
- 2804
: 2884 2 21 Ha
: 2888 3 23 ~
: 2892 22 21 lo, 
: 2919 7 28 oh
: 2928 14 30 ~, 
- 2944
: 3012 2 21 Ha
: 3016 2 23 ~
: 3020 22 21 lo, 
- 3044
: 3048 3 28 Oh
: 3052 44 25 ~ 
- 3098
: 3100 6 28 Oh
: 3108 18 26 ~ 
- 3128
: 3140 6 30 Oh
: 3148 6 28 ~
: 3156 3 25 ~
: 3160 2 23 ~
: 3164 2 21 ~
: 3168 2 20 ~
: 3172 28 18 ~ 
- 3202
: 3204 3 18 Oh
: 3208 3 20 ~
: 3212 3 21 ~
: 3216 3 23 ~
: 3220 3 21 ~
: 3224 3 20 ~
: 3228 4 18 ~
: 3236 32 16 ~
: 3276 21 18 ~
: 3300 29 21 ~, 
- 3331
: 3396 2 18 Eve
: 3400 2 21 ry
: 3404 2 21 where
: 3408 2 21 I’m 
: 3412 4 21 loo
: 3420 2 21 king 
: 3424 3 21 no
: 3428 12 23 ~w, 
- 3442
: 3452 2 21 I’m 
: 3456 2 21 sur
: 3460 3 23 roun
: 3464 2 23 ded 
* 3468 4 23 by 
: 3476 2 23 you
: 3480 2 25 ~r 
: 3484 3 21 em
: 3488 6 21 bra
: 3496 16 18 ~ce, 
- 3514
: 3524 3 21 Ba
: 3528 2 21 by, 
: 3532 2 21 I 
: 3536 2 21 can 
: 3540 6 21 see 
: 3548 2 21 your 
: 3552 6 21 ha
: 3560 3 16 lo
: 3564 3 14 ~
: 3568 12 13 ~, 
- 3582
: 3584 2 16 You 
: 3588 2 21 know 
: 3592 2 21 you’re 
: 3596 4 21 my 
: 3604 3 21 sa
: 3608 2 20 ~
: 3612 2 21 ving 
: 3616 20 21 grace, 
- 3638
: 3648 2 16 You’re 
: 3652 3 21 eve
: 3656 2 21 ry
: 3660 2 21 thing 
: 3664 2 21 I 
: 3668 6 21 need 
: 3676 2 21 and 
: 3680 3 21 mo
: 3684 12 23 ~re, 
- 3698
: 3712 2 21 It’s 
: 3716 2 23 writ
: 3720 2 21 ten 
: 3724 2 23 a
: 3728 2 21 ~ll 
: 3732 2 25 o
: 3736 2 23 ver 
: 3740 2 21 your 
: 3744 7 21 fa
: 3752 3 20 ~
: 3756 12 18 ~ce, 
- 3770
: 3780 2 21 Ba
: 3784 2 21 by, 
: 3788 2 21 I 
: 3792 2 21 can 
: 3796 6 21 feel 
: 3804 2 21 your 
: 3808 6 21 ha
: 3816 3 16 lo
: 3820 3 14 ~
: 3824 12 13 ~, 
- 3838
: 3844 2 21 Pray 
: 3848 2 21 it 
* 3852 6 21 won’t 
: 3860 2 21 fa
: 3864 2 20 ~de 
: 3868 3 20 a
: 3872 16 21 way, 
- 3890
: 3924 2 21 I 
: 3928 2 21 can 
: 3932 2 21 see 
: 3936 2 23 your 
: 3940 2 25 ha
: 3944 3 23 ~
: 3948 8 23 lo, 
- 3958
: 3988 2 21 I 
: 3992 2 21 can 
: 3996 2 21 feel 
: 4000 2 23 your 
: 4004 2 25 ha
: 4008 3 23 ~
: 4012 8 23 lo, 
- 4022
: 4052 2 21 I 
: 4056 2 21 can 
: 4060 2 21 see 
: 4064 2 23 your 
: 4068 2 25 ha
: 4072 3 23 ~
: 4076 8 23 lo, 
- 4086
: 4100 2 21 Ha
: 4104 2 23 ~
: 4108 24 21 lo, 
: 4135 4 28 ooh
: 4140 4 25 ~ 
E
