#ARTIST:Yuki Kajiura
#TITLE:key of the twilight [DUET]
#MP3:Yuki Kajiura - key of the twilight [DUET].mp3
#CREATOR:testguy1245
#EDITION:[DUET]-Songs
#COVER:Yuki Kajiura - key of the twilight [DUET] [CO].jpg
#BACKGROUND:Yuki Kajiura - key of the twilight [DUET] [BG].jpg
#YEAR:2002
#LANGUAGE:English
#BPM:240
#GAP:20080
#VIDEO:a=-B588Yp8uF0,co=https://is1-ssl.mzstatic.com/image/thumb/Music1/v4/00/bc/2f/00bc2f1f-2551-5ce9-f060-caab471ecf2b/VEATP-32394.jpg/5000x5000bb.jpg,p1=P1,p2=P2,tags=duet
P1
: 0 2 4 Come
: 1175 3 7 ~ 
: 1180 2 6 de
: 1184 6 6 struc
: 1191 3 4 ~
: 1196 7 4 tion 
: 1204 3 4 be
: 1208 3 6 ~ 
: 1212 2 4 a 
: 1216 7 4 lul
: 1224 2 2 la
: 1228 7 2 by 
: 1236 7 1 for 
: 1244 3 2 re
: 1248 19 2 birth 
- 1276
: 1280 7 2 Con
: 1288 3 2 so
: 1292 5 2 la
: 1299 8 4 tions, 
: 1308 3 6 be 
: 1312 22 6 there 
- 1341
: 1344 6 2 In 
: 1352 3 2 my 
: 1356 6 2 dream
: 1364 7 4 land 
: 1372 3 6 to 
: 1376 20 6 come 
- 1402
: 1404 2 2 The 
: 1408 7 2 key 
: 1416 3 2 to 
: 1420 7 2 o
: 1428 7 4 pen 
: 1436 2 6 the 
: 1440 11 6 door 
: 1452 1 7 is
: 1454 1 6 ~ 
: 1456 10 4 in 
: 1467 1 6 your
: 1469 2 4 ~ 
: 1472 8 2 hand 
- 1486
: 1488 2 7 Now
: 1491 11 9 ~ 
: 1504 14 1 take 
: 1520 2 7 me
: 1523 12 9 ~ 
: 1536 22 11 there 
- 1565
: 1568 7 11 I 
: 1576 3 11 be
: 1580 7 13 lieve 
: 1588 10 14 in 
: 1600 11 14 fan
: 1612 2 9 ta
: 1616 11 9 sies 
: 1628 3 7 in
: 1632 10 7 vi
: 1644 2 6 si
: 1648 4 6 ble 
: 1656 8 9 to 
: 1665 23 9 me 
- 1694
: 1696 7 11 In 
: 1704 3 11 the 
: 1708 7 13 land 
: 1716 9 14 of 
: 1728 11 14 mi
: 1740 3 9 se
: 1744 11 9 ry 
: 1756 2 7 I’m 
: 1760 10 7 sear
: 1772 3 6 chin’ 
: 1776 6 6 for 
: 1784 1 7 the
: 1786 4 9 ~ 
: 1792 20 9 sign 
- 1821
: 1824 7 9 To 
: 1832 3 9 the 
: 1836 7 11 door 
: 1844 11 12 of 
: 1856 10 12 mys
: 1868 3 7 te
: 1872 11 7 ry 
: 1884 3 5 and 
: 1888 9 5 dig
: 1900 3 4 ni
: 1904 8 4 ty 
- 1914
: 1916 3 4 I’m 
: 1920 23 4 wan
: 1944 3 6 de
: 1948 28 6 ring 
: 1984 2 6 down
: 1987 12 8 ~ 
: 2000 15 8 the 
: 2016 15 9 se
: 2032 14 11 cret 
: 2048 64 11 sun 
- 2144
: 2304 1 4 Come
: 2306 5 6 ~ 
: 2312 3 6 with 
: 2316 7 6 me 
: 2324 2 6 in
: 2327 4 7 ~ 
: 2332 3 6 the 
: 2336 7 6 twi
: 2344 3 4 ~
: 2348 7 4 light 
: 2356 3 4 of
: 2360 3 6 ~ 
: 2364 2 4 a 
: 2368 3 4 sum
: 2372 3 2 ~
: 2376 3 2 mer 
: 2380 7 2 night 
: 2388 7 1 for 
: 2396 3 2 a 
: 2400 24 2 while 
- 2430
: 2432 2 4 Tell
: 2435 8 6 ~ 
: 2444 7 6 me 
: 2452 3 6 of
: 2456 3 7 ~ 
: 2460 2 6 a 
: 2464 7 6 sto
: 2472 3 4 ~
: 2476 7 4 ry 
: 2484 2 4 ne
: 2487 4 6 ~
: 2492 3 4 ver 
: 2496 4 4 e
: 2501 2 2 ~
: 2504 3 2 ver 
: 2508 7 2 told 
: 2516 7 1 in 
: 2524 3 2 the 
: 2528 24 2 past 
- 2558
: 2560 7 2 Take 
: 2568 3 2 me 
: 2572 6 2 back 
: 2580 7 4 to 
: 2588 3 6 the 
: 2592 28 6 land 
- 2622
: 2624 7 2 Where 
: 2632 3 2 my 
: 2636 7 2 year
: 2644 7 4 nings 
: 2652 3 6 were 
: 2656 23 6 born 
- 2682
: 2684 3 2 The 
: 2688 7 2 key 
: 2696 3 2 to 
: 2700 7 2 o
: 2709 6 4 pen 
: 2716 3 6 the 
: 2720 11 6 door 
: 2732 1 7 is
: 2734 1 6 ~ 
: 2736 11 4 in 
: 2748 1 6 your
: 2750 1 4 ~ 
: 2752 9 2 hand 
- 2766
: 2768 2 7 Now
: 2771 12 9 ~ 
: 2784 7 1 take
: 2792 7 -1 ~ 
: 2800 1 7 me
: 2802 10 9 ~
: 2813 2 6 ~ 
: 2816 28 6 there 
- 2846
: 2848 7 4 To 
: 2856 7 2 the 
: 2864 7 4 land 
: 2872 6 6 of 
: 2880 3 6 twi
: 2884 7 7 ~
: 2892 3 6 ~
: 2896 50 6 light 
P2
: 0 2 4 Come
: 3 4 6 ~ 
: 8 3 6 with 
: 12 7 6 me 
: 20 3 6 in
: 24 3 7 ~ 
: 28 3 6 the 
: 32 7 6 twi
: 40 3 4 ~
: 44 7 4 light 
: 53 2 4 of
: 56 3 6 ~ 
: 60 3 4 a 
: 64 3 4 sum
: 68 4 2 ~
: 73 2 2 mer 
: 76 7 2 night 
: 84 7 1 for 
: 92 3 2 a 
: 96 14 2 while 
- 120
: 128 2 4 Tell
: 131 8 6 ~ 
: 140 7 6 me 
: 148 3 6 of
: 152 3 7 ~ 
: 156 2 6 a 
: 160 7 6 sto
: 168 3 4 ~
: 172 6 4 ry 
: 180 2 4 ne
: 183 4 6 ~
: 188 3 4 ver 
: 192 4 4 e
: 197 6 2 ver 
: 204 7 2 told 
: 212 7 1 in 
: 220 2 2 the 
: 224 15 2 past 
- 249
: 257 6 2 Take 
: 264 4 2 me 
: 269 6 2 back 
: 277 6 4 to 
: 284 3 6 the 
: 288 19 6 land 
- 316
: 320 7 2 Where 
: 328 3 2 my 
: 332 7 2 year
: 340 7 4 nings 
: 348 4 6 were 
: 353 19 6 born 
- 378
: 380 2 2 The 
: 383 7 2 key 
: 391 3 2 to 
: 396 7 2 o
: 404 7 4 pen 
: 412 2 6 the 
: 416 10 6 door 
: 427 2 7 is
: 430 2 6 ~ 
: 433 9 4 in 
: 443 3 4 your 
: 448 8 2 hand 
- 462
: 464 2 7 Now
: 467 12 9 ~ 
: 481 13 1 fly 
: 495 2 7 me
: 498 9 9 ~
: 508 3 6 ~ 
: 512 56 6 there 
- 600
: 1024 7 6 Fa
: 1032 3 6 na
: 1036 5 6 tics 
: 1044 3 6 find
: 1048 3 7 ~ 
: 1052 2 6 their 
: 1056 7 6 hea
: 1064 3 4 ven 
: 1068 6 4 in 
: 1076 3 4 ne
: 1080 3 6 ~
: 1084 3 4 ver 
: 1088 3 4 en
: 1092 3 2 ~
: 1096 2 2 ding 
: 1100 6 2 stor
: 1108 12 1 ming 
: 1121 16 2 wind 
- 1148
: 1152 7 6 Au
: 1160 3 6 gu
: 1164 7 6 ries 
: 1172 2 6 of
: 1175 3 7 ~ 
: 1180 2 6 de
: 1184 6 6 struc
: 1191 3 4 ~
: 1196 7 4 tion 
: 1204 3 4 be
: 1208 3 6 ~ 
: 1212 2 4 a 
: 1216 7 4 lul
: 1224 2 2 la
: 1228 7 2 by 
: 1236 7 1 for 
: 1244 3 2 re
: 1248 19 2 birth 
- 1276
: 1280 7 2 Con
: 1288 3 2 so
: 1292 5 2 la
: 1299 8 4 tions, 
: 1308 3 6 be 
: 1312 22 6 there 
- 1341
: 1344 6 2 In 
: 1352 3 2 my 
: 1356 6 2 dream
: 1364 7 4 land 
: 1372 3 6 to 
: 1376 20 6 come 
- 1402
: 1404 2 2 The 
: 1408 7 2 key 
: 1416 3 2 to 
: 1420 7 2 o
: 1428 7 4 pen 
: 1436 2 6 the 
: 1440 11 6 door 
: 1452 1 7 is
: 1454 1 6 ~ 
: 1456 10 4 in 
: 1467 1 6 your
: 1469 2 4 ~ 
: 1472 8 2 hand 
- 1486
F 1488 3 7 Now 
F 1504 14 1 take 
F 1520 3 7 me 
: 1536 7 9 I 
: 1544 3 9 be
: 1548 7 9 lieve 
: 1556 11 9 in 
: 1568 7 9 fan
: 1576 3 9 ta
: 1580 7 9 sies 
: 1588 11 9 in
: 1600 11 9 vi
: 1612 3 9 si
: 1616 32 9 ble 
: 1656 7 9 Down 
- 1663
: 1664 7 9 In 
: 1672 3 9 the 
: 1676 7 9 Land 
: 1684 8 9 of 
: 1696 7 9 mi
: 1704 3 9 se
: 1708 7 9 ry 
: 1716 11 9 im 
: 1728 15 9 sear
: 1744 19 9 ching 
- 1773
: 1792 7 5 To 
: 1800 3 5 the 
: 1804 7 5 door 
: 1812 11 5 of 
: 1824 7 5 dig
: 1832 3 5 ni
: 1836 7 5 ty 
: 1844 11 9 and 
: 1856 11 7 mys
: 1868 3 12 te
: 1872 16 12 ry 
: 1896 7 12 I’m 
: 1904 7 11 wand’
: 1912 7 7 ring 
- 1919
: 1920 1 9 Down
: 1922 37 11 ~ 
: 1960 7 11 I’m 
: 1968 7 11 sear
: 1976 7 11 ching 
: 1984 15 11 down 
: 2000 15 11 the 
: 2016 15 14 se
: 2032 15 16 cret 
: 2048 64 11 sun 
- 2144
: 2304 1 4 Come
: 2306 5 6 ~ 
: 2312 3 6 with 
: 2316 7 6 me 
: 2324 2 6 in
: 2327 4 7 ~ 
: 2332 3 6 the 
: 2336 7 6 twi
: 2344 3 4 ~
: 2348 7 4 light 
: 2356 3 4 of
: 2360 3 6 ~ 
: 2364 2 4 a 
: 2368 3 4 sum
: 2372 3 2 ~
: 2376 3 2 mer 
: 2380 7 2 night 
: 2388 7 1 for 
: 2396 3 2 a 
: 2400 24 2 while 
- 2430
: 2432 2 4 Tell
: 2435 8 6 ~ 
: 2444 7 6 me 
: 2452 3 6 of
: 2456 3 7 ~ 
: 2460 2 6 a 
: 2464 7 6 sto
: 2472 3 4 ~
: 2476 7 4 ry 
: 2484 2 4 ne
: 2487 4 6 ~
: 2492 3 4 ver 
: 2496 4 4 e
: 2501 2 2 ~
: 2504 3 2 ver 
: 2508 7 2 told 
: 2516 7 1 in 
: 2524 3 2 the 
: 2528 24 2 past 
- 2558
: 2560 7 2 Take 
: 2568 3 2 me 
: 2572 6 2 back 
: 2580 7 4 to 
: 2588 3 6 the 
: 2592 28 6 land 
- 2622
: 2624 7 2 Where 
: 2632 3 2 my 
: 2636 7 2 year
: 2644 7 4 nings 
: 2652 3 6 were 
: 2656 23 6 born 
- 2682
: 2684 3 2 The 
: 2688 7 2 key 
: 2696 3 2 to 
: 2700 7 2 o
: 2709 6 4 pen 
: 2716 3 6 the 
: 2720 11 6 door 
: 2732 1 7 is
: 2734 1 6 ~ 
: 2736 11 4 in 
: 2748 1 6 your
: 2750 1 4 ~ 
: 2752 9 2 hand 
- 2766
: 2768 2 7 Now
: 2771 12 9 ~ 
: 2784 7 1 take
: 2792 7 -1 ~ 
: 2800 1 7 me
: 2802 10 9 ~
: 2813 2 6 ~ 
: 2816 28 6 there 
- 2846
: 2848 7 4 To 
: 2856 7 2 the 
: 2864 7 4 land 
: 2872 6 6 of 
: 2880 3 6 twi
: 2884 7 7 ~
: 2892 3 6 light
: 2896 50 6 ~ 
E
