#ARTIST:Diary Of Dreams
#TITLE:The Wedding
#MP3:Diary Of Dreams - The Wedding.mp3
#CREATOR:Mention Find
#COVER:Diary Of Dreams - The Wedding [CO].jpg
#BACKGROUND:Diary Of Dreams - The Wedding [BG].jpg
#YEAR:2009
#LANGUAGE:English
#BPM:280
#GAP:66440
#VIDEO:v=Q_Lh5vuo7wk,co=https://media1.jpc.de/image/w600/front/0/4047179191920.jpg
: 0 7 14 You 
: 3264 7 14 the 
: 3272 7 14 tear 
: 3280 3 14 in 
: 3284 11 17 your 
: 3296 7 14 eye - 
: 3304 7 14 what 
: 3312 7 14 a 
: 3320 7 14 great 
: 3328 3 12 a
: 3332 11 10 li
: 3344 7 14 bi - 
- 3352
: 3352 7 14 Tries 
: 3360 7 14 to 
: 3368 7 14 wea
: 3376 7 14 ken 
: 3384 7 14 my 
: 3392 7 14 sen
: 3400 7 14 ses - 
- 3408
: 3408 3 14 Shat
: 3412 3 14 ter 
: 3416 7 14 all 
: 3424 3 14 that 
: 3428 11 15 I’ve 
: 3440 8 14 learnd. 
- 3450
: 3856 7 14 I 
: 3864 8 15 could 
: 3880 7 12 ne
: 3888 8 14 ver 
: 3904 7 10 say 
: 3912 7 12 these 
: 3920 7 10 words 
: 3928 7 9 to 
: 3936 8 7 you. 
- 3946
: 3952 7 14 I 
: 3960 8 15 could 
: 3976 7 12 ne
: 3984 8 14 ver 
: 4000 7 10 doubt 
: 4008 7 12 the 
: 4016 7 10 way 
: 4024 7 9 you 
: 4032 8 7 do. 
- 4042
: 4048 7 14 I 
: 4056 8 15 could 
: 4072 7 12 ne
: 4080 8 14 ver 
: 4096 7 10 trace 
: 4104 7 12 the 
: 4112 7 10 steps 
: 4120 7 9 for 
: 4128 8 7 you. 
- 4138
: 4144 7 14 I 
: 4152 8 15 could 
: 4168 7 12 ne
: 4176 8 14 ver 
: 4192 7 10 live 
: 4200 7 12 the 
: 4208 7 10 way 
: 4216 7 9 you 
: 4224 8 7 do. 
- 4234
: 4240 7 19 I 
: 4248 8 20 will 
: 4264 7 17 ne
: 4272 8 19 ver 
: 4288 7 15 say 
: 4296 7 17 these 
: 4304 7 15 words 
: 4312 7 14 to 
: 4320 8 12 you. 
- 4330
: 4336 7 19 I 
: 4344 8 20 will 
: 4360 7 17 ne
: 4368 8 19 ver 
: 4384 7 15 doubt 
: 4392 7 17 the 
: 4400 7 15 way 
: 4408 7 14 you 
: 4416 8 12 do. 
- 4426
: 4432 7 19 I 
: 4440 8 20 will 
: 4456 7 17 ne
: 4464 8 19 ver 
: 4480 7 15 trace 
: 4488 7 17 the 
: 4496 7 15 steps 
: 4504 7 14 for 
: 4512 8 12 you. 
- 4522
: 4528 7 19 I 
: 4536 8 20 will 
: 4552 7 17 ne
: 4560 8 19 ver 
: 4576 7 15 live 
: 4584 7 17 the 
: 4592 7 15 way 
: 4600 7 14 you 
: 4608 8 12 do. 
E
